OBJECTID,linkid,description,site_origin,site_destination,direction
57262,2543,"Jacksons Rd, Wellington Rd to St Marys Seminary",268,1207,SB
57263,2544,"Jacksons Rd, St Marys Seminary to Wellington Rd",1207,268,NB
57264,2545,"Jacksons Rd, St Mary Seminary to Police Rd",1207,659,SB
57265,2546,"Jacksons Rd, Police Rd to St Marys Seminary",659,1207,NB
57266,2547,"Jacksons Rd/Elonera Rd, Police Rd to Dandenong Rd",659,190,SB
57267,2548,"Jacksons Rd/Elonera Rd, Dandenong Rd to Police Rd",190,659,NB
57268,2549,"Malvern Rd, Tooronga Rd to Glenferrie Rd",4353,4355,WB
57269,2550,"Malvern Rd, Glenferrie Rd to Tooronga Rd",4355,4353,EB
57270,2551,"Malvern Rd, Glenferrie Rd to Kooyong Rd",4355,4759,WB
57271,2552,"Malvern Rd, Kooyong Rd to Glenferrie Rd",4759,4355,EB
57272,2553,"Malvern Rd, Kooyong Rd to Orrong Rd",4759,4757,WB
57273,2554,"Malvern Rd, Orrong Rd to Kooyong Rd",4757,4759,EB
57274,2555,"Malvern Rd, Orrong Rd to Williams Rd",4757,4755,WB
57275,2556,"Malvern Rd, Williams Rd to Orrong Rd",4755,4757,EB
57276,2557,"Orrong Rd, Toorak Rd to Malvern Rd",4748,4757,SB
57277,2558,"Orrong Rd, Malvern Rd to Toorak Rd",4757,4748,NB
57278,2559,"Orrong Rd, Malvern Rd to High St",4757,4766,SB
57279,2560,"Orrong Rd, High St to Malvern Rd",4766,4757,NB
57280,2561,"Keilor Rd, Elstone Cr to Hoffmans Rd",1366,1000,EB
57281,2562,"Keilor Rd, Hoffmans Rd to Elstone Cr",1000,1366,WB
57282,2563,"Keilor Rd, Hoffmans Rd to Mt Alexander Rd",1000,4193,EB
57283,2564,"Keilor Rd, Mt Alexander Rd to Hoffmans Rd",4193,1000,WB
57284,2565,"Hoffmans Rd, Buckley St to Keilor Rd",2719,1000,NB
57285,2566,"Hoffmans Rd, Keilor Rd to Buckley St",1000,2719,SB
57286,2567,"Centre Dandenong Rd, Grange Rd to Boundary Rd",3141,3204,EB
57287,2568,"Centre Dandenong Rd, Boundary Rd to Grange Rd",3204,3141,WB
57288,2569,"Lonsdale St, Exhibition St to Macarthur St",2902,4445,EB
57289,2570,"Lonsdale St, Macarthur St to Exhibition St",4445,2902,WB
57290,2571,"Albert St, Macarthur St to Hoddle St",4445,3386,EB
57291,2572,"Albert St, Hoddle St to Macarthur St",3386,4445,WB
57292,2573,"Macarthur St, Spring St to Albert St",4575,4445,NB
57293,2574,"Macarthur St, Albert St to Spring St",4445,4575,SB
57294,2575,"Macarthur St/Victoria Pde/Brunswick St, Albert St to Gertrude St",4445,4216,NB
57295,2576,"Macarthur St/Victoria Pde/Brunswick St, Gertrude St to Albert St",4216,4445,SB
57296,2577,"Victoria St, Elizabeth St to Swanston St",4388,4389,EB
57297,2578,"Victoria St, Swanston St to Elizabeth St",4389,4388,WB
57298,2579,"Victoria St, Swanston St to La Trobe St",4389,2918,EB
57299,2580,"Victoria St, La Trobe St to Swanston St",2918,4389,WB
57300,2581,"Victoria St, La Trobe St to Nicholson St",2918,4406,EB
57301,2582,"Victoria St, Nicholson St to La Trobe St",4406,2918,WB
57302,2583,"Mt Alexander Rd, Keilor Rd to Buckley St",4193,3513,SB
57303,2390,"Pound Rd, South Gippsland Fwy to South Gippsland Hwy",1247,974,WB
57304,2391,"South Gippsland Hwy, Greens Rd to Pound Rd",252,974,SB
57305,2392,"South Gippsland Hwy, Pound Rd to Greens Rd",974,252,NB
57306,2393,"South Gippsland Hwy, Pound Rd to Abbotts Rd",974,961,SB
57307,2394,"South Gippsland Hwy, Abbotts Rd to Pound Rd",961,974,NB
57308,2395,"Canterbury Rd, Wantirna Rd to Bedford Rd",853,857,EB
57309,2396,"Canterbury Rd, Bedford Rd to Wantirna Rd",857,853,WB
57310,2397,"Canterbury Rd, Bedford Rd to Bayswater Rd",857,860,EB
57311,2398,"Canterbury Rd, Bayswater Rd to Bedford Rd",860,857,WB
57312,2399,"Maroondah Hwy, Dorset Rd to Edward Rd",138,141,EB
57313,2400,"Maroondah Hwy, Edward Rd to Dorset Rd",141,138,WB
57314,2401,"Maroondah Hwy, Edward Rd to Victoria Rd ",141,142,EB
57315,2402,"Maroondah Hwy, Victoria Rd to Edward Rd",142,141,WB
57316,2403,"Dorset Rd, Bellara Dr to Hull Rd",138,628,SB
57317,2404,"Dorset Rd, Hull Rd to Bellara Dr",628,138,NB
57318,2405,"Burwood Hwy, Springvale Rd to Hanover Rd",164,166,EB
57319,2406,"Burwood Hwy, Hanover Rd to Springvale Rd ",166,164,WB
57320,2407,"Burwood Hwy, Hanover Rd to Morack Rd",166,168,EB
57321,2408,"Burwood Hwy, Morack Rd to Hanover Rd",168,166,WB
57322,2409,"Burwood Hwy, Morack Rd to Mountain Hwy",168,169,EB
57323,2410,"Burwood Hwy, Mountain Hwy to Morack Rd",169,168,WB
57324,2411,"Stephensons Rd, Waimarie Rd to Waverly Rd",481,483,SB
57325,2412,"Stephensons Rd, Waverly Rd to Waimarie Rd ",483,481,NB
57326,2413,"Ballarat Rd, Christies Rd to Station Rd",2658,2614,EB
57327,2414,"Ballarat Rd, Station Rd to Christies Rd",2614,2658,WB
57328,2415,"Ferntree Gully Rd, Stud Rd to Scoresby Rd",456,459,EB
57329,2416,"Ferntree Gully Rd, Scoresby Rd to Stud Rd",459,456,WB
57330,2417,"Scoresby Rd, Ferntree Fully Rd to Burwood Hwy",459,174,NB
57331,2418,"Scoresby Rd, Burwood Hwy to Ferntree Gully Rd",174,459,SB
57332,2419,"Ferntree Gully Rd, Commercial Rd to Scoresby Rd",176,459,WB
57333,2585,"Dudley St/Peel St, King St to Victoria St",4517,4506,NB
57334,2586,"Dudley St/Peel St, Victoria St to King St",4506,4517,SB
57335,2587,"Victoria St, Peel St to Elizabeth St",4506,4388,EB
57336,2588,"Victoria St, Elizabeth St to Peel St",4388,4506,WB
57337,2589,"Peel St/Flemington St, Victoria St to Wreckyn St",4506,4466,NB
57338,2590,"Peel St/Flemington Rd, Wreckyn St to Victoria St",4466,4506,SB
57339,2591,"Peel St, Grattan St to Victoria St",4386,4506,SB
57340,2592,"Peel St, Victoria St to Grattan St",4506,4386,NB
57341,2593,"Pascoe Vale Rd, Bell St to Stewart St",2863,3595,NB
57342,2594,"Pascoe Vale Rd, Stewart St to Bell St",3595,2863,SB
57343,2595,"Gaffney St, Pascoe Vale Rd to Cumberland Rd",3595,4112,EB
57344,2596,"Gaffney St, Cumberland Rd to Pascoe Vale Rd",4112,3595,WB
57345,2597,"Cumberland Rd, Gaffney St to Bell St",4112,3050,SB
57346,2598,"Cumberland Rd, Bell St to Gaffney St",3050,4112,NB
57347,2599,"Mt Alexander Rd, Buckley St to Holmes St",3513,3510,SB
57348,2600,"Mt Alexander Rd, Holmes Rd to Buckley St",3510,3513,NB
57349,2601,"Mt Alexander Rd, Woodland St to Buckley St",1012,3513,NB
57350,2621,"Keilor Park Dr, Milleara Rd to Western Ring Rd East Ramp",2715,2879,WB
57351,2622,"Milleara Rd, Keilor Prk Dr to Buckley St",2715,2726,SB
57352,2623,"Milleara Rd, Buckley St to Keilor Park Dr",2726,2715,NB
57353,2624,"Cooper St, Metrolink Circuit to Hume Fwy",2838,2815,EB
57354,2625,"Cooper St, Hume Fwy to Metrolink Circuit",2815,2838,WB
57355,2626,"Seymour Gr, Burke Rd to Camberwell Rd",4042,3812,EB
57356,2627,"Seymour Gr, Camberwell Rd to Burke Rd",3812,4042,WB
57357,2628,"Lower Dandenong Rd, Warrigal Rd to Thirft Park Exit",2329,4645,EB
57358,2629,"Low Dandenong Rd, Thrift Park Exit to Warrigal Rd",4645,2329,WB
57359,2630,"Mitchell St, Ashley St to Hampstead Rd",2607,4937,EB
57360,2631,"Mitchell St, Hampstead Rd to Ashley St",4937,2607,WB
57361,2632,"Hutton Rd, Springvale Rd to Chapel Rd",283,395,EB
57362,2633,"Hutton Rd, Chapel Rd to Springvale Rd",395,283,WB
57363,2634,"Hutton Rd, Chapel Rd to Perry Rd",395,495,EB
57364,2635,"Hutton Rd, Perry Rd to Chapel Rd",495,395,WB
57365,2636,"Ferntree Gully Rd, Springvale Rd to Watsons Rd",429,454,EB
57366,2637,"Ferntree Gully Rd, Watsons Rd to Springvale Rd",454,429,WB
57367,2638,"Ferntree Gully Rd, Watsons Rd to Jells Rd",454,455,EB
57368,2639,"Ferntree Gully Rd, Jells Rd to Watsons Rd",455,454,WB
57369,2640,"Princes Hwy, Narre Warren - Cranbourne Rd to Tinks Rd",604,601,NWB
57370,2641,"Princes Hwy, Tinks Rd to Narre Warren - Cranbourne Rd",601,604,SEB
57371,2642,"Princes Hwy, Tinks Rd to Hallam Rd",601,203,NWB
57372,2643,"Princes Hwy, Hallam Rd to Tinks Rd",203,601,SEB
57373,2644,"Stud Rd, Ferntree Gully Rd to George St",456,781,NB
57374,2645,"Stud Rd, George St to Ferntree Gully Rd",781,456,SB
57375,2646,"Stud Rd, George St to High Street Rd",781,785,NB
57376,2647,"Studd Rd, High Street Rd to George St",785,781,SB
57377,2648,"Cheltenham Rd, Dandenong Bypass to Corrigan Rd",1336,923,EB
57378,2649,"Cheltenham Rd, Corrigan Rd to Dandenong Bypass",923,1336,WB
57379,2650,"Cheltenham Rd, Corrigan Rd to Perry Rd",923,924,EB
57380,2651,"Cheltenham Rd, Perry Rd to Corrigan Rd",924,923,WB
57381,2652,"Cheltenham Rd, Perry Rd to Chandler Rd",924,670,EB
57382,2653,"Cheltenham Rd, Chandler Rd to Perry Rd",670,924,WB
57383,2654,"Stud Rd, Wellington Rd to Timbertop Dr",784,1170,SB
57384,2655,"Stud Rd, Timbertop Dr to Wellington Rd",1170,784,NB
57385,2656,"Stud Rd, Timbertop Dr to Monash Fwy North Ramps",1170,710,SB
57386,2657,"Stud Rd, Monash Fwy North Ramps to Timbertop Dr",710,1170,NB
57387,2658,"Ballarat Rd, Gordon St to Farnsworth Ave",2603,2602,EB
57388,2659,"Ballarat Rd, Farnsworth Ave to Gordon St",2602,2603,WB
57389,2660,"Ballarat Rd, Farnsworth Ave to Geelong Rd",2602,2504,EB
57390,2661,"Ballarat Rd, Geelong Rd to Farnsworth Ave",2504,2602,WB
57391,2662,"Ormond Esplanade, Glen Huntly Rd to Head St",3019,3022,SB
57392,2663,"Ormand Esplanade, Head St to Glen Huntly Rd",3022,3019,NB
57393,2664,"St Kilda St, Head St to North Rd",3022,3024,SB
57394,2665,"St Kilda Rd, North Rd to Head St",3024,3022,NB
57395,2666,"Forster Rd, Ferntree Gully Rd to Hardner St",4716,3963,NB
57396,2667,"Forster Rd, Hardner St to Ferntree Gully Rd",3963,4716,SB
57397,2668,"Forster Rd, Hardner St to Waverly Rd",3963,487,NB
57398,2669,"Forster Rd, Waverly Rd to Hardner St",487,3963,SB
57399,2670,"Waverly Rd, Malvern Rd to Darling Rd",4342,4343,WB
57400,2671,"Waverly Rd, Darling Rd to Malvern Rd",4343,4342,EB
57401,2672,"Waverly Rd, Darling Rd to Burke Rd",4343,4346,WB
57402,2673,"Waverly Rd, Burke Rd to Darling Rd",4346,4343,EB
57403,2674,"Waverly Rd, Burke Rd to Dandenong Rd",4346,2417,WB
57404,2675,"Waverly Rd/Dandenong Rd, Tooronga Rd to Burke Rd ",2417,4346,EB
57405,2676,"Waverly Rd, Malvern Rd to Chadstone Rd",4342,4341,EB
57406,2677,"Waverly Rd, Chadstone Rd to Malvern Rd",4341,4342,WB
57407,2678,"Waverly Rd, Chadstone Rd to Batesford Rd",4341,4340,EB
57408,2679,"Waverly Rd, Batesford Rd to Chadstone Rd",4340,4341,WB
57409,2680,"Waverly Rd, Batesford Rd to Warrigal Rd",4340,3680,EB
57410,2681,"Waverley Rd, Warrigal Rd to Batesford Rd",3680,4340,WB
57411,2682,"Burke Rd, Dandenong Rd to Waverly Rd",2419,4346,NB
57412,2683,"Burke Rd, Waverly Rd to Dandenong Rd",4346,2419,SB
57413,2684,"Burke Rd, Waverly Rd to Wattletree Rd",4346,4368,NB
57414,2685,"Burke Rd, Wattletree Rd to Waverly Rd",4368,4346,SB
57415,2686,"Moorooduc Hwy, Sage Rd to Robinsons Rd",520,756,NB
57416,2687,"Moorooduc Hwy, Robinsons Rd to Sage Rd",756,520,SB
57417,2688,"Wellds Rd, Amarroo St to Edithvale Rd",967,281,NB
57418,2689,"Wells Rd, Edithvale Rd to Amarroo St",281,967,SB
57419,2690,"Gordon St, River St to Ballarat Rd",2708,2603,SB
57420,2691,"Gordon St, Ballarat Rd to River St",2603,2708,NB
57421,2692,"Kings Rd, Main Rd West to Delahey Village North Entrance",4930,2587,NB
57422,2693,"Kings Rd, Delahey Village North Entrance to Main Road West",2587,4930,SB
57423,2694,"Kings Rd, Delahey Village North Entrance to Hume Dr",2587,2585,NB
57424,2695,"Kings Rd, Hume Dr to Delahey Village North Entrance",2585,2587,SB
57425,2696,"Boundary Rd, Lower Dandenong Rd to White St",4638,4647,SB
57426,2697,"Boundary Rd, White St to Lower Dandenong Rd",4647,4638,NB
57427,2698,"White St, Boundary Rd to Nepean Hwy",4647,2332,WB
57428,2603,"Lincoln Rd, Mt Alexander Rd to Buckley St",4193,4198,SB
57429,2604,"Lincoln Rd, Buckley St to Mt Alexander Rd",4198,4193,NB
57430,2605,"Tullarmarine Fwy/Citylink/Bell St, Bulla Rd to Cumberland Rd",31051,3050,EB
57431,2606,"Belgrave - Hallam Rd, Monash Fwy to Princes Hwy",512,203,SB
57432,2607,"Belgrave-Hallam Rd, Princes Hwy to Monash Fwy",203,512,NB
57433,2608,"High St, Beaconsfield - Emerald Rd to Clyde Rd",513,208,WB
57434,2609,"High St, Clyde Rd to Beaconsfield - Emerald Rd",208,513,EB
57435,2610,"Kelletts Rd, Taylors Lne to Napoleon Rd",824,1081,WB
57436,2611,"Kellets Rd, Napoleon Rd to Taylors Lne",1081,824,WB
57437,2612,"Napoleon Rd, Kelletts Rd to Lysterfield Rd",1081,787,NEB
57438,2613,"Napoleon Rd, Lysterfield Rd to Kelletts Rd",787,1081,SWB
57439,2614,"Dempster St, Sunshine Rd to Somerville Rd",4951,2514,SB
57440,2615,"Dempster St, Somerville Rd to Sunshine Rd",2514,4951,NB
57441,2616,"Somerville Rd, Dempster St to McDonald Rd",2514,2660,WB
57442,2617,"Somerville Rd, McDonalds Rd to Dempster St",2660,2514,EB
57443,2618,"Somerville Rd, Geelong Rd to Dempster Rd",2508,2514,WB
57444,2619,"Somerville Rd, Dempsters Rd to Geelong Rd",2514,2508,EB
57445,2700,"Wattletree Rd, Glenferrie Rd to Tooronga Rd",4365,4367,EB
57446,2701,"Wattletree Rd, Tooronga Rd to Glenferrie Rd",4367,4365,WB
57447,2702,"Wattletree Rd, Tooronga Rd to Burke Rd",4367,4368,EB
57448,2703,"Wattletree Rd, Burke Rd to Tooronga Rd",4368,4367,EB
57449,2704,"Chesterville Rd, Cochrans Rd to Keys Rd",4635,4617,SB
57450,2705,"Chesterville Rd, Keys Rd to Cochrans Rd",4617,4635,NB
57451,2706,"Boundary Rd, Lower Dandenong Rd to Centre Dandenong Rd",4638,3204,NB
57452,2707,"Boundary Rd, Centre Dandenong Rd to Lower Dandenong Rd",3204,4638,SB
57453,2710,"Pascoe Vale Rd, Anselm Gr to Citylink",3599,3595,SB
57454,2711,"Pascoe Vale Rd, Citylink to Anselm Gr",3595,3599,NB
57455,2712,"Malvern Rd, Waverly Rd to Darling Rd",4342,4348,NB
57456,2713,"Malvern Rd, Darling Rd to Waverly Rd",4348,4342,SB
57457,2714,"Malvern Rd, Darling Rd to Wattletree Rd",4348,4349,NB
57458,2715,"Malvern Rd, Wattletree Rd to Darling Rd",4349,4348,SB
57459,2716,"Collins St, Elizabeth St to Russell St",4580,4577,EB
57460,2717,"Collins St, Russell St to Elizabeth St",4577,4580,WB
57461,2718,"Collins St, Russell St to Spring St",4577,4575,EB
57462,2719,"Collins St, Spring St to Russell St",4575,4577,WB
57463,2720,"Russell St, Collins St to La Trobe St",4577,2920,NB
57464,2721,"Russell St, La Trobe St to Collins St",2920,4577,SB
57465,2722,"Russell St, Flinders St to Collins St",4561,4577,NB
57466,2723,"Russell St, Collins St to Flinders St",4577,4561,SB
57467,2724,"Collins St, King St to Elizabeth St",4584,4580,EB
57468,2725,"Collins St, Elizabeth St to King St",4580,4584,WB
57469,2726,"Elizabeth St, Victoria St to Collins St",4388,4580,SB
57470,2727,"Elizabeth St, Collins St to Victoria St",4580,4388,NB
57471,2728,"Macaulay Rd, Epsom Rd to Boundary Rd",4480,4490,EB
57472,2729,"Macaulay Rd, Boundary Rd to Epsom Rd",4490,4480,WB
57473,2743,"Tooronga Rd, Malvern Rd to High St",4353,4360,SB
57474,2744,"Burke Rd, Wattletree Rd to High St",4368,4363,NB
57475,2745,"Burke Rd, High St to Wattletree Rd",4363,4368,SB
57476,2746,"Burke Rd, High St to Malvern Rd",4363,4351,NB
57477,2747,"Burke Rd, Malvern Rd to High St",4351,4363,SB
57478,2748,"High St, Glenferrie Rd to Tooronga Rd",4357,4360,EB
57479,2749,"High St, Tooronga Rd to Glenferrie Rd",4360,4357,WB
57480,2750,"High St, Tooronga Rd to Burke Rd",4360,4363,EB
57481,2751,"High St, Burke Rd to Tooronga Rd",4363,4360,WB
57482,2752,"High St, Burke Rd to Malvern Rd",4363,4350,EB
57483,2753,"High St, Malvern Rd to Burke Rd",4350,4363,WB
57484,2754,"Springvale Rd, Burwood Hwy to Highbury Rd",164,420,SB
57485,2755,"Springvale Rd, Highbury Rd to Burwood Hwy",420,164,NB
57486,2756,"Springvale Rd, Highbury Rd to High Street Rd",420,422,SB
57487,2757,"Springvale Rd, High Street Rd to Highbury Rd",422,420,NB
57488,2758,"Mair St East, Victoria St to Peel St South",5810,5913,EB
57489,2759,"Mair St East, Peel St South to Victoria St",5913,5810,WB
